StationID,Lat,Long,StationName,Type,Elevation
GHA,51.2053,-114.7712,Ghost Lake Auto,PAW,1225
GLA,56.6175,-110.4944,Gordon Lake Auto,PAW,515
GLEN,53.8326,-114.539,Glenevis AGCM,PAW,670
GMA,54.7506,-116.0332,Goose Mountain Auto,PAW,1385
GTA,55.9012,-115.76,Gift Lake Auto,PAW,691
HAND,51.4525,-112.135,Hand Hills Agcm,PAW,941
HDA,53.8,-118.45,Hendrickson Creek Cs,PAW,1448
HHA,57.6568,-117.4232,Hawk Hills Auto,PAW,730
HKA,57.3339,-118.9593,Hotchkiss Auto,PAW,990
HLA,54.9155,-111.3393,Heart Lake Auto,PAW,866
HMA,55.0473,-115.6016,House Mountain Auto,PAW,1176
HOA,54.186,-110.9217,Hoselaw Agcm,PAW,588
HPA,55.3958,-116.4795,High Prairie Agdm,PAW,602
HRA,56.5187,-111.7957,Horse River Auto,PAW,464
HUA,53.9877,-118.1859,Huckleberry Auto,PAW,1431
HZA,56.5291,-117.9336,Hazel Agcm,PAW,672
IMA,54.4666,-115.5722,Imperial Auto,PAW,1202
JCA,55.9129,-117.1198,Jean Cote Agcm,PAW,638
JEA,57.4974,-113.8835,Jean Lake Auto,PAW,745
JOA,57.57,-110.3251,Johnson Lake Auto,PAW,590
KAA,54.4209,-118.9822,Kakwa Tower Auto,PAW,1226
KBA,55.3585,-110.645,Kirby Lake Auto,PAW,690
KEA,57.6404,-118.3527,Keg Auto,PAW,950
KILL,52.8475,-111.872,Killam Agdm,PAW,687
KINI,54.5633,-112.9812,Kinikinik AGCM,PAW,634
KMA,55.994,-116.6066,Kimiwan Auto,PAW,770
L1,56.1144,-112.5447,Bovine Creek Auto,PAW,518
L2A,55.07,-110.71,Foster Creek Auto,PAW,673
L3,56.7683,-112.4878,Dunkirk Auto,PAW,479
L5,58.3094,-110.2822,Keane Auto,PAW,337
LEED,52.55,-114.4,Leedale Agdm,PAW,947
LEGA,54.003,-113.4744,Legal Agcm,PAW,680
LGA,57.4509,-112.8751,Legend Auto,PAW,855
LIND,53.943,-110.5789,Lindberg Agdm,PAW,648
LLS,51.4281,-116.2093,Lake Louise ,PAW,1670
LMA,55.6897,-111.2847,Leismer Auto,PAW,583
LOA,53.0311,-116.662,Lovett Auto,PAW,1476.61
LODG,49.4577,-110.341,Lodge Creek Agcm,PAW,1059
MBA,53.8613,-116.6654,Mayberne Auto,PAW,1453
MDA,52.8166,-114.8743,Medicine Lake,PAW,974
MHAT,50.0333,-110.717,Medicine Hat Rcs,PAW,717
MLA,53.5488,-116.9672,Medicine Lodge Auto,PAW,1138
MOA,53.5327,-118.0232,Moberly Auto,PAW,1674
MPA,52.9106,-117.2768,Mountain Park  Auto,PAW,1824
MQA,56.0815,-114.6548,Muskwa  Auto,PAW,681
MRA,55.4709,-114.787,Marten Mountain Auto,PAW,1005
MUA,57.1353,-110.8942,Muskeg Mountain Auto,PAW,610
MYA,55.5623,-112.4049,May Raws,PAW,866
NDA,52.4667,-116.0833,Nordegg Auto,PAW,1362
NMA,54.5634,-119.6315,Nose Mountain Auto,PAW,1510
NOA,56.869,-118.599,Notikewin Auto,PAW,940
OLA,56.6974,-115.9231,Otter Lakes Auto,PAW,784
OLDS,51.7586,-114.085,Olds College Agdm,PAW,1046
OLIV,53.6466,-113.3546,Oliver AGDM,PAW,665
OYEN,51.3797,-110.355,Oyen Agdm,PAW,767
P1,57.3511,-119.7606,Shell Hamberg,PAW,769
P2,56.8808,-116.5592,Jackpine Auto,PAW,663
PAA,57.178,-114.614,Panny Auto,PAW,625
PAUL,54.011,-111.272,St Paul Agdm,PAW,659
PBA,54.3083,-113.8208,Pibroch Agcm,PAW,621
PBN,56.1177,-117.8866,Brownvale Agcm,PAW,748
PCI,51.1098,-114.05,Calgary Int'l CS,PAW,1081
PDA,59.5226,-119.6076,Petitot  Auto,PAW,780
PEA,55.6212,-118.293,Peoria Agdm,PAW,621
PMT,55.7043,-113.5699,Pelican Temp,TAW,638.01
POA,58.9319,-116.2207,Ponton  Auto,PAW,954
PSA,54.2289,-116.84,Pass Creek  Auto,PAW,1080.7
PTA,54.7806,-119.3961,Pinto Env Auto,PAW,1046
PUA,55.2191,-117.4933,Puskwaskau Auto,PAW,912
PVA,54.9639,-113.3208,Pleasant View,PAW,641
PYA,58.7684,-111.1061,Fort Chipewyan Auto,PAW,231
R1,51.9874,-115.24,Clearwater Auto,PAW,1280
R1T,51.847,-115.124,Bread Creek Temp,TAW,1420
R2,52.0877,-115.8442,Ram Falls Auto,PAW,1641
R2T,52.0877,-115.842,Ram Falls Temp,TAW,1641
R3,52.9689,-115.8647,Elk River Auto,PAW,1067
R4,52.0621,-116.4128,Kootenay Plains Auto,PAW,1294
RBA,58.3468,-119.7099,Rainbow Lake Auto,PAW,540
RCA,54.5012,-111.6914,Rich Lake Agcm,PAW,616
REA,56.6606,-115.114,Red Earth Auto,PAW,627
RHA,55.2992,-111.9892,Round Hill Auto,PAW,685
RIA,57.8857,-111.0341,Richardson  Auto,PAW,365
RKA,55.3264,-113.4604,Rock Island Lake Auto,PAW,722
RLA,58.4518,-116.4806,Rocky Lane Agrd,PAW,301
S1,54.9161,-114.7814,Salteaux Auto,PAW,736
S2,55.5264,-114.5569,Marten Hills Auto,PAW,1000
S4,55.3031,-115.4917,Kinuso,PAW,611
S5,57.1443,-115.0798,Loon River,PAW,455
S6,55.9627,-113.8254,Wabasca Auto,PAW,555
S7,56.5276,-113.4688,Chip Alpac,PAW,573
SAA,55.623,-119.7165,Saddle Hills Auto,PAW,963
SCO,51.4333,-115.814,Scotch Camp ,PAW,1737
SDA,54.7283,-115.3556,Swan Dive Auto,PAW,1241
SEA,50.6392,-114.5068,Sheep River Auto,PAW,1424
SHA,52.2367,-115.1967,Strachan,PAW,1240
SIA,54.2337,-118.4147,Simonette Auto,PAW,1431
SLA,54.2648,-112.5041,Smoky Lake Agdm,PAW,675
SNA,54.6783,-117.5387,Snuff Mountain Auto,PAW,942
SOA,56.2236,-110.959,Surmont Auto,PAW,555
SOCP,50.732,-110.215,Social Plains Agcm,PAW,741
SPA,55.6608,-115.8323,Salt Prairie Auto,PAW,762
SQA,55.8215,-113.67,Sandy Lake Auto,PAW,631
SRA,54.5896,-110.8376,Sand River Auto,PAW,755
STA,56.3897,-111.2807,Stony Mountain Auto,PAW,750
STAL,53.692,-113.6196,St. Albert Research,PAW,687
STET,52.347,-112.596,Stettler Agdm,PAW,795
STRA,51.0387,-113.29,Strathmore Imcin,PAW,976
SUA,52.494,-115.7538,Shunda Auto,PAW,1420.76
SVA,59.6345,-117.7886,Steen River Auto,PAW,705
SWA,54.8989,-116.7519,Sweathouse Auto,PAW,892
SWG,58.8529,-111.9972,Sweetgrass,PAW,210
TCA,56.3994,-117.0307,Three Creeks Agcm,PAW,566
TGA,58.0208,-116.848,Tompkins Landing Agcm,PAW,343
THA,53.4333,-114.7167,Tomahawk Agdm,PAW,814
TMA,56.796,-114.42,Trout Moutain Auto,PAW,796
TOT,53.9295,-116.3311,Tom Hill Temp,TAW,1289
TPA,56.4582,-114.1184,Teepee Lake Auto,PAW,782
TSA,52.3367,-116.3573,Tershishner Auto,PAW,1380
TTA,57.3487,-115.6564,Talbot Lake Auto,PAW,822
TYA,54.4054,-117.4915,Tony Auto,PAW,1007
VEGR,53.5166,-112.1,Vegreville ,PAW,639
VERM,53.3438,-110.882,Vermillion Agdm,PAW,620
VGA,54.4284,-114.4295,Vega  Auto,PAW,713
VULC,50.4064,-113.166,Vulcan Agcm,PAW,976
VVA,55.0978,-117.1987,Valleyview Auto Agdm,PAW,694
W1,54.5691,-115.3822,Freeman Auto,PAW,821
W2,53.1834,-115.6887,Eta Lake Auto,PAW,927
W3,54.6009,-116.6225,Meekwap Auto,PAW,836
W4,54.1919,-116.2422,Windfall Auto,PAW,830
W5,54.3974,-116.8025,Fox Creek Auto,PAW,850
W6,54.6546,-114.5318,Timeu Creek Auto,PAW,730
W7,54.1466,-117.8901,Berland Hills Auto,PAW,1170
WAA,51.4129,-115.0898,Waiparous Auto,PAW,1567
WARN,49.2829,-112.161,Warner Agcm,PAW,1004
WBM,55.1966,-119.3964,Beaverlodge Cs,PAW,745
WCA,54.0325,-115.7208,Whitecourt  Auto,PAW,1172
WDA,56.4223,-118.0022,Whitemud Auto,PAW,835
WEA,53.7136,-119.479,Willmore Auto,PAW,1285
WETA,52.9804,-113.444,Wetaskiwin Agcm,PAW,794
WFA,56.1834,-115.4729,Whitefish Auto,PAW,705
WGF,58.7,-113.8833,Garden River ,PAW,241
WGM,49.1333,-113.8,Waterton Park Gate,PAW,1296
WJW,52.93,-118.03,Jasper Warden ,PAW,1020
WMA,55.7131,-119.2498,White Mountain Auto,PAW,912
WMX,57.0333,-111.5667,Mildred Lake,PAW,310
WRA,55.2855,-112.4789,Wandering River Auto,PAW,579
WUA,57.7771,-115.4556,Wadlin Auto,PAW,848
WWO,53.3856,-118.348,Willow Creek 1,PAW,1370
WYA,56.3709,-119.1829,Worsley Agcm,PAW,660
WZG,51.1934,-115.5522,Banff Cs,PAW,1370
XAA,51.0933,-115.0678,Bow Valley Auto,PAW,1326
